network,1,1,5,5,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,11,11,12,12,12,12,12,13,13,13,13,13,13,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17
node,1,1,1,1,1,1,2,2,1,1,2,2,3,3,1,1,2,2,3,3,1,1,1,1,2,2,3,1,1,2,2,3,4,1,1,2,2,3,3,4,4,1,1,2,2,3,3,4
hemi,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,lh,rh,lh,rh,rh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh,rh,lh
0,56.0557441711,92.031036377,-35.8988609314,-1.88918077946,5.89868831635,-43.6923217773,-47.664264679,12.2841215134,1.56653809547,-13.0425853729,-1.85525965691,-39.8059005737,-30.8315124512,-61.137008667,-25.8278560638,39.0241622925,-29.9716453552,-6.1323723793,-56.7569885254,0.210136055946,-10.3562726974,18.0188159943,-63.2921447754,-75.9951171875,-35.4459152222,-99.3927230835,-73.0174179077,-18.9680137634,14.8808364868,-47.7545967102,14.7384748459,-16.8530101776,-34.2178192139,13.4681854248,68.4562911987,19.3110084534,30.1789283752,60.5264053345,0.607904016972,-70.2705459595,77.365776062,-21.7345504761,1.02825272083,7.7917842865,68.9037246704,-10.5208721161,120.490463257,-39.6864318848
1,55.547252655,43.6900749207,19.5680103302,15.9029827118,-23.2318229675,-10.7458667755,10.2695455551,31.2758312225,-26.3094882965,-18.0770263672,-10.2593231201,-43.4886779785,-63.9656295776,47.789855957,-7.91067457199,37.9512710571,-9.67725372314,-52.3735084534,6.00747585297,9.6376914978,5.72729825974,72.0728302002,-40.5470581055,-38.1940116882,-56.6081848145,-98.9926147461,-82.669670105,-64.5064697266,4.34862947464,-84.3549194336,23.7922821045,8.9270067215,-19.7324008942,58.7233009338,73.0549163818,72.2255020142,89.6470489502,73.1243438721,57.4950714111,-76.3932189941,127.261360168,-13.0357990265,46.3818244934,-15.7524499893,31.0003318787,-39.6075210571,24.7640113831,-36.7710075378
2,60.9977684021,63.4387931824,19.2474536896,37.2094192505,2.39215278625,16.5091094971,-5.31423568726,2.3729763031,-7.34216785431,-24.550989151,1.77461206913,32.2579498291,-1.83502757549,-29.4644012451,-74.9431533813,-15.2616167068,25.8069801331,-46.5933380127,25.265586853,5.46277475357,-35.5885887146,-17.9789962769,-10.6580486298,-37.4817008972,-48.8486099243,-58.1938552856,-7.80837965012,-53.9855422974,-21.3084182739,-64.1707382202,8.96852016449,1.41358363628,-4.95507526398,36.9385490417,61.3448791504,42.4599838257,33.834400177,13.8847513199,28.3173694611,9.06397724152,45.4932632446,26.0334415436,34.2122001648,1.32610976696,-22.5807571411,12.9851694107,-75.0274505615,6.4342622757
3,18.5148677826,12.6571578979,32.8969154358,11.1996192932,-14.6657524109,2.07371544838,32.6343345642,45.8254089355,-47.6329994202,-6.5802154541,-2.76859927177,-25.2822151184,-14.930727005,10.1234292984,-106.99407959,-21.7231464386,-20.4907112122,11.5279369354,-68.2626571655,-3.13202953339,1.38516688347,12.3136844635,13.9928674698,-29.3087425232,-14.9978971481,15.3006105423,1.78912127018,-41.107334137,-17.3318862915,-40.6128196716,19.6277275085,49.2087478638,1.66129314899,-14.41102314,1.16720426083,42.5326881409,9.16195392609,21.521736145,71.4396286011,65.8429794312,-10.6975469589,55.2974662781,4.25500631332,-2.4201438427,12.0983934402,-15.8191719055,-37.3614311218,-4.65095376968
4,-2.52739238739,-63.1046676636,18.3967590332,3.21907734871,-41.8569107056,-24.6904144287,-33.9754180908,-24.1496677399,-6.31565141678,-29.3441352844,-52.6962585449,-41.7139472961,-13.8499355316,-58.4473609924,23.6053390503,24.2904777527,32.8559150696,-19.030916214,-2.60348439217,1.42189478874,49.3569221497,51.7329025269,31.9520263672,51.8275413513,44.4663848877,48.7524032593,32.329875946,-18.7408905029,-10.7873497009,34.9431495667,55.8530883789,46.7373199463,4.58662509918,3.14595460892,-2.2317507267,54.1005592346,61.5782737732,11.2364702225,95.5975646973,50.9604530334,-23.1972999573,43.0675621033,52.2198753357,28.232881546,-11.7197504044,5.4536485672,5.16982841492,87.809135437
5,-24.906791687,-51.1918945312,-15.9005661011,18.4717216492,6.49403905869,4.88784837723,33.3427009583,29.598028183,-27.0194664001,-17.8509407043,-11.3462495804,-37.1919593811,-6.11290931702,-32.3509025574,4.68809890747,9.48688220978,-24.0747375488,-45.8534660339,-5.17916440964,-26.1122264862,32.6647071838,45.8192062378,55.0575218201,12.1819286346,16.945438385,21.1887054443,47.6716117859,-23.7534770966,-25.9049758911,37.9966773987,-0.578345835209,55.886264801,-3.1673412323,-23.2132568359,-27.8436660767,25.4172420502,8.05527591705,41.7603759766,71.7070770264,108.209823608,-38.9859542847,56.4356155396,11.0733556747,22.7122859955,-24.3151473999,11.0610198975,-51.8962516785,63.1231842041
6,17.2737102509,0.540082931519,31.0805015564,-23.4286956787,35.7036933899,33.2555046082,30.7986698151,58.1970787048,-37.9734687805,34.5255393982,-5.57160520554,-44.4077453613,3.8828163147,-27.823217392,-63.6957588196,-86.8794631958,-40.6696739197,-146.613739014,-53.9337539673,-41.1250190735,12.1281576157,-23.9817523956,49.3630409241,-56.4554634094,5.31614303589,-25.8528385162,28.7318477631,-34.838344574,-24.4550514221,53.6435508728,-41.0474586487,4.33750724792,35.3554191589,-53.1313819885,-54.4392967224,69.6345062256,-53.5844154358,30.9344558716,21.2208805084,112.865852356,-11.0260810852,43.0896224976,18.8629131317,58.888999939,-48.4278450012,-1.96867692471,-88.8005599976,79.8166122437
